Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Inna Gaponenko,159.7,0.03,3.14,4,2.0,159.7,0.03,2333,2424,153,2,2,3.35,1.44,0.03,1.46,0.12,0.03,0.04,159.7,159.7,1.0,1.0,0.13,2.09,0.0,2.15
Anna Muzychuk,159.0,0.02,2.32,4,2.0,159.0,0.02,2544,2372,129,2,2,2.1,0.35,0.01,1.51,0.08,0.02,0.02,159.0,159.0,1.0,1.0,0.06,0.12,0.0,2.27
Zala Urh,158.6,0.06,3.55,2,1.0,158.6,0.06,2304,2333,80,1,1,3.55,0.07,0.02,1.41,0.06,0.07,0.04,158.6,158.7,0.5,0.5,0.11,0.01,0.0,2.0
Govhar Beydullayeva,157.8,0.32,7.65,2,1.0,157.8,0.32,2371,2143,55,1,1,7.65,0.21,0.24,2.46,0.01,0.15,0.49,157.9,157.6,0.5,0.5,0.64,0.05,0.06,6.06
Sophie Milliet,155.3,0.36,8.93,2,1.0,155.3,0.36,2355,2211,66,1,1,8.93,3.96,0.4,4.97,-0.12,0.07,0.64,158.1,152.5,0.5,0.5,0.71,15.68,0.16,24.71
Valentina Gunina,155.0,0.47,81.05,6,4.5,157.6,0.43,2416,2409,252,3,3,9.13,9.52,0.42,118.09,-0.14,0.64,0.31,159.3,150.6,3.0,1.5,2.84,90.58,0.18,13944.26
Kateryna Lagno,154.8,0.32,44.72,6,3.0,158.3,0.26,2515,2386,244,3,3,6.45,8.86,0.21,92.53,-0.15,0.34,0.3,158.1,151.4,2.0,1.0,1.93,78.52,0.04,8561.36
Meruert Kamalidenova,153.7,0.6,31.37,8,5.5,155.6,0.5,2323,2568,420,4,4,12.05,6.73,0.45,50.7,-0.21,0.55,0.66,156.9,150.4,3.0,2.5,4.82,45.35,0.21,2570.47
Harika Dronavalli,152.9,0.55,-11.34,8,4.5,157.4,0.44,2488,2478,450,4,4,3.58,12.91,0.54,101.98,-0.25,0.8,0.3,148.7,157.2,2.5,2.0,4.42,166.67,0.29,10399.48
Deimante Daulyte-Cornette,152.5,0.23,11.81,4,2.5,157.8,0.15,2405,2242,134,2,2,8.19,10.99,0.3,9.19,-0.27,0.32,0.15,146.9,158.0,1.0,1.5,0.93,120.69,0.09,84.51
Yuxin Song,151.5,0.47,26.43,10,5.5,158.2,0.52,2410,2416,443,5,5,8.72,13.84,0.38,53.02,-0.33,0.38,0.56,158.6,144.3,4.0,1.5,4.72,191.56,0.15,2811.45
Tingjie Lei,150.8,0.65,37.46,12,9.0,156.8,0.57,2557,2598,578,6,6,10.5,11.7,0.52,57.37,-0.36,0.63,0.67,148.9,152.8,4.5,4.5,7.78,136.89,0.27,3290.86
Vantika Agrawal,150.4,0.31,85.34,6,3.5,158.2,0.08,2377,2417,233,3,3,6.21,15.09,0.39,191.76,-0.38,0.06,0.56,160.8,140.1,3.0,0.5,1.87,227.56,0.15,36770.77
Anna Ushenina,149.5,0.58,14.87,4,2.5,149.2,0.52,2413,2272,145,2,2,13.9,10.63,0.26,8.2,-0.43,0.43,0.74,158.6,140.3,2.0,0.5,2.33,112.95,0.07,67.17
Amina Kairbekova,149.2,0.6,21.22,2,1.0,149.2,0.6,2273,2311,59,1,1,21.22,12.73,0.13,11.12,-0.45,0.5,0.69,140.2,158.2,0.0,1.0,1.19,162.0,0.02,123.72
Lala Shohradova,148.8,0.31,17.3,2,0.5,148.8,0.31,2149,2186,70,1,1,17.3,14.35,0.35,18.32,-0.48,0.06,0.56,158.9,138.6,0.5,0.0,0.62,206.05,0.13,335.66
Humpy Koneru,148.6,0.61,8.32,12,7.5,157.2,0.42,2536,2528,629,6,6,8.48,19.9,0.71,3.98,-0.48,0.78,0.44,143.0,154.3,3.5,4.0,7.35,396.14,0.5,15.85
Pauline Guichard,147.9,0.3,11.3,2,0.5,147.9,0.3,2343,2092,102,1,1,11.3,14.92,0.39,13.94,-0.52,0.03,0.58,158.4,137.3,0.5,0.0,0.61,222.61,0.15,194.24
